stock_id,symbol,stock_name,sector,as_of_date,t_price,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,ud_ratio,vp_ratio_stock,vp_score_stock,rsi14,above_50ma,ma50,amp_10d_pct,vcp,high_52w,pct_from_high,pv_state_4w,pv_state_13w,pv_state_26w,pv_verdict,trend_state,trend_pattern,trend_signal,explosive_verdict,vol_today,vol_10d_avg,trade_value_20d_est_NTD_M,inst_foreign_net_20d_shares,inst_trust_net_20d_shares,inst_dealer_net_20d_shares,inst_total_net_20d_shares,inst_total_net_20d_est_NTD_M,point_rank_in_sector,vp_score_rank_in_sector,composite_in_sector,composite_rank_in_sector,stock_gap_alert
2882,2882,國泰金,金融保險,2026-09-18,110.5,11.73,1.28,56.35,31.43,1.0,0.0,9.95,8,9,28593764,22855012,0.889,1.251,91.2,56.4,True,102.52,8.06,False,117.0,-5.56,P+V+,P+V-,P+V+,➡️ 中性,多頭,頭頭高·底底高,,,43280347,22205115,52794.4,11121307.0,15621808.0,3026310.0,29769425.0,3289.5,10.0,15.0,12.5,14.0,
3037,3037,欣興,電子零組件業,2026-09-18,981.0,-8.74,-2.19,81.03,37.78,0.333,0.41,-9.59,10,10,18594101,25052853,1.0,0.742,72.4,49.65,True,955.54,9.72,False,1230.0,-20.24,P-V-,P-V+,P+V-,➡️ 中性,收斂,頭頭低·底底高,多轉空預警 / 空轉多預警,,13722988,15062831,434924.1,29999140.0,-8105292.0,1028773.0,22922621.0,22487.1,6.0,12.0,9.0,10.0,吃老本
2382,2382,廣達,電腦及週邊設備業,2026-09-18,343.0,5.54,-5.88,23.75,11.79,0.667,1.93,6.69,13,7,13289696,15354313,1.857,0.866,97.79,56.25,True,327.98,6.95,False,420.07,-18.35,P+V-,P-V-,P+V+,⚠️ 頂部背離,收斂,頭頭低·底底高,多轉空預警 / 空轉多預警,,21255470,16675245,94592.6,23706646.0,20795260.0,1427981.0,45929887.0,15754.0,8.0,3.0,5.5,6.0,
2891,2891,中信金,金融保險,2026-09-18,69.5,9.28,2.24,36.25,21.01,1.0,3.58,6.92,14,6,33229702,32888942,2.333,1.01,100.0,59.39,True,65.49,8.75,False,72.0,-3.47,P+V-,P+V-,P+V+,⚠️ 頂部背離,多頭,頭頭高·底底高,,,74483794,37397682,44773.4,32230307.0,54737086.0,-7195.0,86960198.0,6043.7,14.0,1.0,7.5,11.0,剛爆發
3017,3017,奇鋐,電腦及週邊設備業,2026-09-18,3430.0,20.14,42.58,81.12,56.24,1.0,1.78,19.72,11,9,3578118,2822580,1.222,1.268,100.0,59.08,True,2852.94,14.94,False,3595.0,-4.59,P+V-,P+V-,P+V-,⚠️ 量能衰竭,多頭,頭頭高·底底高,,,3510469,2705261,213837.7,390623.0,2031202.0,281295.0,2703120.0,9271.7,2.0,1.0,1.5,1.0,
2059,2059,川湖,電子零組件業,2026-09-18,12495.0,-12.98,66.08,274.3,150.42,0.667,3.44,-6.32,8,12,406339,487854,0.667,0.833,72.16,50.75,True,11245.91,20.44,False,15031.98,-16.88,P-V-,P+V-,P+V-,➡️ 中性,多頭,頭頭高·底底高,,🔥 追高風險,448545,411690,121548.7,11347.0,-345331.0,20806.0,-313178.0,-3913.2,1.0,13.0,7.0,6.0,吃老本
7769,7769,鴻勁,電子工業,2026-09-18,6540.0,4.56,-4.22,56.58,28.37,0.667,3.65,2.11,10,10,1046500,565251,1.0,1.851,100.0,54.64,True,6280.54,17.19,False,8358.69,-21.76,P+V+,P-V-,P+V-,➡️ 中性,多頭,頭頭高·底底高,空轉多預警,,3144241,1002428,102053.8,968599.0,-1275771.0,55247.0,-251925.0,-1647.6,15.0,1.0,8.0,5.0,剛爆發
2327,2327,國巨*,電子零組件業,2026-09-18,550.0,-0.18,-48.36,93.69,34.71,0.333,1.1,-0.72,8,12,46460590,31850880,0.667,1.459,85.54,46.49,False,593.27,15.36,False,1220.0,-54.92,P-V-,P-V+,P+V+,➡️ 中性,空頭,頭頭低·底底低,,,25526267,32056864,420472.5,-15320298.0,-19399555.0,2761432.0,-31958421.0,-17577.1,8.0,8.0,8.0,8.0,
2412,2412,中華電,電子工業,2026-09-18,145.5,6.59,4.59,10.32,7.95,1.0,3.56,6.59,11,3,14661546,6879501,3.667,2.131,100.0,82.95,True,137.98,6.35,False,145.5,0.0,P+V-,P+V+,P+V+,⚠️ 頂部背離,空頭,頭頭低·底底低,多轉空預警 / 多頭確認,,27560779,14381938,32739.7,81555174.0,-837408.0,405610.0,81123376.0,11803.5,28.0,1.0,14.5,13.0,剛爆發
2887,2887,台新新光金,金融保險,2026-09-18,44.4,21.64,44.06,84.31,58.58,1.0,4.1,19.19,13,7,71351858,47956089,1.857,1.488,100.0,75.0,True,37.51,9.51,False,44.8,-0.89,P+V+,P+V-,P+V-,➡️ 中性,多頭,頭頭高·底底高,多頭確認,,137200724,61650445,52111.7,1438464.0,112680833.0,1094011.0,115213308.0,5115.5,2.0,1.0,1.5,2.0,
