ticker,stock_name,supply_chain,as_of_date,chain_point,chain_z_point,chain_state,stock_point,stock_z_in_chain,chain_size,price_lag,early_flag
6213,聯茂,CCL / High-Speed Materials,2026-09-24,89.78,2.31,⚠️ Price Leading,189.44,1.17,4,1.14,
3036,文曄,Semiconductor Equipment & Materials,2026-09-24,37.44,0.04,🚀 Confirmed,-5.41,-1.03,9,1.07,🎯 EARLY
2324,仁寶,AI Server / ODM,2026-09-24,40.13,0.15,⚠️ Price Leading,7.04,-0.91,13,1.06,
2449,京元電子,Advanced Packaging,2026-09-24,42.65,0.26,🚀 Confirmed,12.71,-0.76,8,1.02,🎯 EARLY
2382,廣達,AI Server / ODM,2026-09-24,40.13,0.15,⚠️ Price Leading,12.85,-0.75,13,0.9,
2330,台積電,Advanced Packaging,2026-09-24,42.65,0.26,🚀 Confirmed,20.92,-0.55,8,0.81,🎯 EARLY
3008,大立光,Display & Optical,2026-09-24,74.57,1.65,🚀 Confirmed,96.46,0.84,3,0.81,
2317,鴻海,AI Server / ODM,2026-09-24,40.13,0.15,⚠️ Price Leading,16.51,-0.65,13,0.8,
4938,和碩,AI Server / ODM,2026-09-24,40.13,0.15,⚠️ Price Leading,16.99,-0.64,13,0.79,
6239,力成,Advanced Packaging,2026-09-24,42.65,0.26,🚀 Confirmed,24.51,-0.46,8,0.72,🎯 EARLY
2337,旺宏,Memory / HBM,2026-09-24,23.81,-0.56,❄️ Weak,-19.48,-1.27,5,0.71,
2356,英業達,AI Server / ODM,2026-09-24,40.13,0.15,⚠️ Price Leading,21.21,-0.52,13,0.67,
