stock_id,symbol,stock_name,sector,as_of_date,t_price,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,ud_ratio,vp_ratio_stock,vp_score_stock,rsi14,above_50ma,ma50,amp_10d_pct,vcp,high_52w,pct_from_high,pv_state_4w,pv_state_13w,pv_state_26w,pv_verdict,trend_state,trend_pattern,trend_signal,explosive_verdict,vol_today,vol_10d_avg,inst_foreign_net_20d_shares,inst_trust_net_20d_shares,inst_dealer_net_20d_shares,inst_total_net_20d_shares,inst_total_net_20d_est_NTD_M,point_rank_in_sector,vp_score_rank_in_sector,composite_in_sector,composite_rank_in_sector,stock_gap_alert
3189,3189,景碩,電子工業,2026-09-04,819.0,-2.03,18.35,168.97,88.56,0.667,-8.9,-0.49,11,9,17553249,19679608,1.222,0.892,80.09,49.75,True,795.84,22.94,False,960.0,-14.69,P-V+,P+V-,P+V-,➡️ 中性,多頭,頭頭高·底底高,空轉多預警,🔥 追高風險,19778741,23069215,-5787481.0,-658616.0,1481958.0,-4964139.0,-4065.6,2.0,19.0,10.5,7.0,吃老本
1301,1301,台塑,塑膠工業,2026-09-04,66.0,18.71,29.92,30.18,27.25,1.0,5.26,18.28,11,8,36362673,33855963,1.375,1.074,100.0,63.11,True,59.42,24.16,False,71.2,-7.3,P+V-,P+V+,P+V+,⚠️ 頂部背離,收斂,頭頭低·底底高,多轉空預警 / 多頭確認,,26921626,44618162,77432888.0,606818.0,3620478.0,81660184.0,5389.6,3.0,1.0,2.0,2.0,
5880,5880,合庫金,金融保險,2026-09-04,26.65,2.11,12.45,11.27,9.28,1.0,5.54,1.72,12,7,22940225,24183160,1.714,0.949,95.56,68.01,True,25.43,7.81,False,27.65,-3.62,P+V-,P+V+,P+V+,⚠️ 頂部背離,擴散,頭頭高·底底低,,,21410399,19982695,15569274.0,39486936.0,34803.0,55091013.0,1468.2,13.0,11.0,12.0,12.0,
1326,1326,台化,塑膠工業,2026-09-04,69.8,18.71,26.45,44.81,33.7,1.0,12.4,18.51,11,9,38546490,34264764,1.222,1.125,100.0,61.43,True,62.41,33.71,False,78.2,-10.74,P+V-,P+V+,P+V+,⚠️ 頂部背離,收斂,頭頭低·底底高,多轉空預警 / 多頭確認,,41291535,51100322,79334498.0,1405951.0,-1561345.0,79179104.0,5526.7,2.0,1.0,1.5,1.0,
3481,3481,群創,電子工業,2026-09-04,48.5,-7.27,-13.08,69.88,29.85,0.333,-0.21,2.0,9,11,212879511,204002433,0.818,1.044,81.65,48.59,False,52.75,15.58,False,72.6,-33.2,P-V-,P-V-,P+V+,😴 弱勢縮量,收斂,頭頭低·底底高,多轉空預警,,130554353,193227922,-55164650.0,12479427.0,-7419203.0,-50104426.0,-2430.1,8.0,18.0,13.0,11.0,吃老本
2379,2379,瑞昱,電子工業,2026-09-04,713.0,-5.94,14.26,49.32,26.74,0.667,-1.25,-4.93,9,10,2102140,2524177,0.9,0.833,74.62,45.77,False,744.78,9.37,False,970.0,-26.49,P-V-,P+V+,P+V+,➡️ 中性,收斂,頭頭低·底底高,空轉多預警,,1403920,1986176,-4598805.0,2786873.0,258814.0,-1553118.0,-1107.4,11.0,26.0,18.5,21.0,吃老本
4904,4904,遠傳,電子工業,2026-09-04,104.0,2.46,1.96,11.11,6.66,1.0,3.48,0.97,10,7,5728116,5350895,1.429,1.07,92.14,58.11,True,102.05,4.12,False,113.5,-8.37,P+V-,P+V+,P+V+,⚠️ 頂部背離,收斂,頭頭低·底底高,多頭確認,,3337751,5630085,19981799.0,-1416558.0,-1143710.0,17421531.0,1811.8,21.0,9.0,15.0,16.0,剛爆發
6770,6770,力積電,電子工業,2026-09-04,68.5,1.33,-15.43,-8.42,-7.74,0.333,-2.14,4.58,11,9,239387385,154025463,1.222,1.554,97.42,49.3,True,68.42,10.14,False,94.5,-27.51,P+V+,P-V-,P-V-,🌱 底部剛翻多,收斂,頭頭低·底底高,空轉多預警,,85248242,130450038,99586012.0,-798404.0,3879050.0,102666658.0,7032.7,25.0,4.0,14.5,14.0,剛爆發
3661,3661,世芯-KY,電子工業,2026-09-04,4220.0,11.05,-2.76,22.67,13.41,0.667,3.81,13.59,13,7,2417901,2423345,1.857,0.998,100.0,59.12,True,3819.8,16.99,False,5640.0,-25.18,P+V+,P-V-,P+V+,➡️ 中性,收斂,頭頭低·底底高,多轉空預警 / 空轉多預警,,1757291,1812012,1874122.0,-770670.0,405246.0,1508698.0,6366.7,17.0,1.0,9.0,5.0,剛爆發
2449,2449,京元電子,電子工業,2026-09-04,262.0,5.43,-18.63,-17.09,-11.84,0.333,-2.96,8.26,10,9,24601481,22844584,1.111,1.077,89.29,52.17,False,270.79,20.43,False,367.5,-28.71,P+V+,P-V-,P-V+,➡️ 中性,收斂,頭頭低·底底高,多轉空預警 / 空轉多預警,,15925999,27222139,-39548196.0,3804289.0,-504682.0,-36248589.0,-9497.1,26.0,11.0,18.5,21.0,剛爆發
